,provincia,población,superficie,hogaresInternet
0,Manabí,1537090,18939.6,24552
1,Santa Elena,384102,3690.17,5524
2,Esmeraldas,626626,16132.23,10503
3,Guayas,4267893,15430.4,133641
4,El Oro,698545,5766.68,19417
5,Los Ríos,899632,7205.27,10082
6,Santo Domingo de los Tsáchilas,44788,3446.65,8631
7,Carchi,184136,3780.45,2333
8,Imbabura,463957,4587.51,9738
9,Pichincha,3116111,9539.91,190920
10,Cotopaxi,476428,6108.23,5137
11,Bolivar,206771,3945.38,1932
12,Tungurahua,577551,3386.25,14061
13,Chimborazo,515417,6499.72,8394
14,Cañar,272236,3146.08,3848
15,Azuay,853070,8309.58,23274
16,Loja,511184,11062.73,11252
17,Sucumbíos,220483,18084.42,2786
18,Orellana,157520,21692.1,2162
19,Pastaza,108365,29641.37,1779
20,Morona Santiago,188028,24059.4,1563
21,Zamora Chinchipe,115368,10584.28,1289
22,Napo,128252,12542.5,2117
23,Galápagos,31600,8010.0,1326
